Mo 8.33412000 0.00000000 12.42180000
S 3.57034000 0.69130800 10.85650000
S 3.57174000 0.69063600 13.97020000
Mo 2.37887000 2.06403000 12.41430000
S 5.95026000 2.74635000 10.85650000
S 5.95014000 2.74790000 13.97020000
Mo 4.76513000 4.12538000 12.41430000
S 8.33412000 4.81170000 10.85680000
S 8.33412000 4.81170000 13.97190000
Mo 7.14891000 6.18986000 12.41670000
S 10.71790000 6.86060000 10.86700000
S 10.71260000 6.87086000 13.97300000
Mo 5.35718000 1.02815000 12.41430000
S 8.91660000 1.72280000 10.86700000
S 8.92817000 1.72233000 13.97300000
Mo 7.73320000 3.09621000 12.41670000
S 2.98058000 3.77990000 10.85650000
S 2.97930000 3.77902000 13.97020000
Mo 10.12020000 5.14904000 12.41670000
S 5.36781000 5.85171000 10.86700000
S 5.36161000 5.84193000 13.97300000
