B 16.16890000 25.68870000 49.88950000
N 19.05860000 25.56550000 49.89410000
B 18.38930000 26.84710000 49.88960000
N 21.27910000 26.72530000 49.90870000
B 20.60970000 28.00680000 49.90520000
N 23.49870000 27.88830000 49.93380000
B 13.84690000 22.02620000 49.93220000
N 16.73490000 21.90560000 49.92150000
B 16.06390000 23.18640000 49.91230000
N 18.95410000 23.06480000 49.91530000
B 18.28310000 24.34550000 49.90520000
N 21.17430000 24.22460000 49.92230000
B 20.50340000 25.50520000 49.91270000
N 23.39440000 25.38700000 49.94030000
B 22.72380000 26.66740000 49.93280000
N 25.61380000 26.55340000 49.96390000
B 24.94330000 27.83360000 49.95970000
N 27.83210000 27.72470000 49.98680000
B 11.53790000 18.35690000 49.98660000
N 14.42160000 18.24170000 49.97060000
B 13.74840000 19.52190000 49.96380000
N 16.63590000 19.40440000 49.95400000
B 15.96260000 20.68410000 49.94380000
N 18.85330000 20.56500000 49.94430000
B 18.17980000 21.84440000 49.93220000
N 21.07250000 21.72550000 49.94500000
B 20.39910000 23.00460000 49.93270000
N 23.29240000 22.88750000 49.95610000
B 22.61930000 24.16660000 49.94520000
N 25.51190000 24.05300000 49.97390000
B 24.83940000 25.33210000 49.96580000
N 27.73050000 25.22320000 49.99240000
B 27.05860000 26.50220000 49.98830000
N 29.94830000 26.39790000 50.00610000
B 29.27680000 27.67690000 50.00670000
N 32.16540000 27.57600000 50.01140000
B 9.24194000 14.67960000 50.01690000
N 12.12160000 14.56920000 50.00760000
B 11.44720000 15.84940000 50.00780000
N 14.33000000 15.73760000 49.99750000
B 13.65490000 17.01690000 49.99310000
N 16.54190000 16.90310000 49.98470000
B 15.86610000 18.18170000 49.97670000
N 18.75730000 18.06610000 49.97420000
B 18.08090000 19.34400000 49.96390000
N 20.97510000 19.22770000 49.97070000
B 20.29860000 20.50520000 49.95950000
N 23.19420000 20.38980000 49.97610000
B 22.51790000 21.66730000 49.96550000
N 25.41330000 21.55450000 49.98850000
B 24.73770000 22.83210000 49.97990000
N 27.63160000 22.72330000 50.00320000
B 26.95710000 24.00110000 49.99750000
N 29.84880000 23.89660000 50.01430000
B 29.17560000 25.17480000 50.01250000
N 32.06520000 25.07360000 50.01760000
B 31.39320000 26.35210000 50.02000000
N 34.28150000 26.25200000 50.01090000
B 33.61020000 27.53090000 50.01800000
N 36.49820000 27.42930000 49.99440000
B 6.94849000 11.00010000 50.00610000
N 9.82790000 10.88980000 50.00950000
B 9.15419000 12.17040000 50.01740000
N 12.03400000 12.06160000 50.01680000
B 11.35910000 13.34140000 50.02020000
N 14.24160000 13.23270000 50.01560000
B 13.56530000 14.51150000 50.01510000
N 16.45200000 14.40150000 50.00850000
B 15.77430000 15.67920000 50.00470000
N 18.66580000 15.56740000 49.99940000
B 17.98690000 16.84410000 49.99360000
N 20.88230000 16.73100000 49.99350000
B 20.20270000 18.00700000 49.98670000
