B 79.18860000 137.07800000 73.02450000
N 82.07980000 137.10500000 73.02560000
B 81.34540000 138.35000000 73.02740000
N 84.23670000 138.37700000 73.02570000
B 83.50230000 139.62200000 73.02740000
N 86.39350000 139.64900000 73.02290000
B 77.05470000 133.30200000 73.01260000
N 79.94610000 133.32900000 73.01600000
B 79.21170000 134.57400000 73.01900000
N 82.10300000 134.60100000 73.02000000
B 81.36860000 135.84600000 73.02310000
N 84.25980000 135.87300000 73.02150000
B 83.52550000 137.11800000 73.02450000
N 86.41660000 137.14500000 73.02020000
B 85.68230000 138.39000000 73.02320000
N 88.57340000 138.41700000 73.01630000
B 87.83910000 139.66200000 73.01910000
N 90.73030000 139.68900000 73.01010000
B 74.92050000 129.52700000 72.99620000
N 77.81200000 129.55300000 73.00070000
B 77.07770000 130.79900000 73.00430000
N 79.96900000 130.82500000 73.00730000
B 79.23470000 132.07000000 73.01120000
N 82.12600000 132.09700000 73.01220000
B 81.39170000 133.34200000 73.01630000
N 84.28290000 133.36900000 73.01480000
B 83.54860000 134.61400000 73.01900000
N 86.43970000 134.64100000 73.01500000
B 85.70540000 135.88600000 73.01910000
N 88.59650000 135.91300000 73.01270000
B 87.86220000 137.15800000 73.01660000
N 90.75330000 137.18500000 73.00800000
B 90.01900000 138.43000000 73.01160000
N 92.91010000 138.45700000 73.00140000
B 92.17590000 139.70200000 73.00460000
N 95.06700000 139.72800000 72.99340000
B 72.78570000 125.75200000 72.97870000
N 75.67730000 125.77800000 72.98320000
B 74.94310000 127.02300000 72.98690000
N 77.83460000 127.05000000 72.99070000
B 77.10040000 128.29500000 72.99480000
N 79.99180000 128.32100000 72.99740000
B 79.25760000 129.56700000 73.00190000
N 82.14880000 129.59300000 73.00270000
B 81.41460000 130.83900000 73.00750000
N 84.30580000 130.86500000 73.00630000
B 83.57160000 132.11000000 73.01130000
N 86.46270000 132.13700000 73.00780000
B 85.72850000 133.38200000 73.01270000
N 88.61950000 133.40900000 73.00690000
B 87.88530000 134.65400000 73.01170000
N 90.77630000 134.68100000 73.00370000
B 90.04210000 135.92600000 73.00830000
N 92.93310000 135.95300000 72.99860000
B 92.19890000 137.19800000 73.00280000
N 95.08990000 137.22400000 72.99200000
B 94.35570000 138.47000000 72.99560000
N 97.24680000 138.49600000 72.98430000
B 96.51260000 139.74100000 72.98740000
N 99.40370000 139.76700000 72.97620000
B 70.65010000 121.97700000 72.96290000
N 73.54190000 122.00300000 72.96670000
B 72.80790000 123.24800000 72.97000000
N 75.69960000 123.27400000 72.97350000
B 74.96550000 124.52000000 72.97730000
N 77.85700000 124.54600000 72.98040000
B 77.12290000 125.79100000 72.98470000
N 80.01430000 125.81700000 72.98680000
B 79.28020000 127.06300000 72.99160000
N 82.17150000 127.08900000 72.99240000
B 81.43740000 128.33500000 72.99750000
N 84.32850000 128.36100000 72.99660000
B 83.59440000 129.60700000 73.00200000
N 86.48550000 129.63300000 72.99900000
B 85.75140000 130.87800000 73.00450000
N 88.64240000 130.90500000 72.99930000
B 87.90830000 132.15000000 73.00480000
N 90.79920000 132.17700000 72.99760000
B 90.06510000 133.42200000 73.00280000
N 92.95600000 133.44900000 72.99400000
B 92.22190000 134.69400000 72.99880000
N 95.11280000 134.72000000 72.98880000
B 94.37870000 135.96600000 72.99310000
N 97.26960000 135.99200000 72.98240000
B 96.53550000 137.23700000 72.98620000
N 99.42650000 137.26300000 72.97540000
B 98.69240000 138.50900000 72.97860000
N 101.58300000 138.53400000 72.96810000
B 100.84900000 139.78000000 72.97070000
N 103.74000000 139.80500000 72.96100000
B 68.51360000 118.20300000 72.95030000
N 71.40570000 118.22800000 72.95300000
B 70.67180000 119.47400000 72.95560000
N 73.56370000 119.49900000 72.95840000
B 72.82980000 120.74500000 72.96160000
N 75.72150000 120.77100000 72.96430000
B 74.98760000 122.01600000 72.96800000
N 77.87920000 122.04200000 72.97040000
B 77.14520000 123.28700000 72.97460000
N 80.03660000 123.31400000 72.97640000
B 79.30260000 124.55900000 72.98110000
N 82.19390000 124.58500000 72.98180000
B 81.45990000 125.83100000 72.98700000
N 84.35110000 125.85700000 72.98630000
B 83.61710000 127.10300000 72.99180000
N 86.50810000 127.12900000 72.98940000
B 85.77410000 128.37400000 72.99500000
N 88.66500000 128.40100000 72.99070000
B 87.93110000 129.64600000 72.99640000
N 90.82190000 129.67300000 72.99020000
B 90.08790000 130.91800000 72.99580000
N 92.97870000 130.94400000 72.98790000
B 92.24470000 132.19000000 72.99320000
N 95.13550000 132.21600000 72.98410000
B 94.40150000 133.46200000 72.98890000
N 97.29230000 133.48800000 72.97900000
B 96.55830000 134.73300000 72.98330000
N 99.44910000 134.75900000 72.97320000
B 98.71520000 136.00400000 72.97690000
N 101.60600000 136.03000000 72.96700000
B 100.87200000 137.27600000 72.97000000
N 103.76300000 137.30100000 72.96070000
B 103.02900000 138.54600000 72.96310000
N 105.92000000 138.57100000 72.95470000
B 105.18600000 139.81700000 72.95650000
N 108.07700000 139.84200000 72.94900000
B 66.37630000 114.42900000 72.94100000
N 69.26870000 114.45400000 72.94250000
B 68.53490000 115.70000000 72.94470000
N 71.42700000 115.72500000 72.94640000
B 70.69330000 116.97000000 72.94900000
N 73.58520000 116.99600000 72.95080000
B 72.85140000 118.24100000 72.95390000
N 75.74320000 118.26700000 72.95570000
B 75.00940000 119.51200000 72.95930000
N 77.90100000 119.53800000 72.96100000
B 77.16720000 120.78400000 72.96510000
N 80.05860000 120.81000000 72.96640000
B 79.32480000 122.05500000 72.97090000
N 82.21600000 122.08100000 72.97160000
B 81.48220000 123.32700000 72.97650000
N 84.37330000 123.35300000 72.97610000
B 83.63950000 124.59900000 72.98130000
N 86.53050000 124.62500000 72.97950000
B 85.79660000 125.87000000 72.98500000
N 88.68750000 125.89700000 72.98160000
B 87.95370000 127.14200000 72.98720000
N 90.84440000 127.16800000 72.98200000
B 90.11060000 128.41400000 72.98760000
N 93.00130000 128.44000000 72.98090000
B 92.26750000 129.68600000 72.98630000
N 95.15810000 129.71200000 72.97830000
B 94.42430000 130.95700000 72.98340000
N 97.31490000 130.98300000 72.97450000
B 96.58110000 132.22900000 72.97910000
N 99.47170000 132.25500000 72.96980000
B 98.73790000 133.50000000 72.97390000
N 101.62900000 133.52600000 72.96460000
B 100.89500000 134.77100000 72.96810000
N 103.78500000 134.79700000 72.95930000
B 103.05200000 136.04200000 72.96220000
N 105.94200000 136.06700000 72.95400000
B 105.20900000 137.31300000 72.95630000
N 108.09900000 137.33800000 72.94910000
B 107.36600000 138.58300000 72.95080000
N 110.25700000 138.60800000 72.94440000
B 109.52300000 139.85300000 72.94560000
N 112.41400000 139.87700000 72.94020000
B 64.23800000 110.65600000 72.93440000
N 67.13060000 110.68100000 72.93520000
B 66.39700000 111.92600000 72.93680000
N 69.28940000 111.95100000 72.93760000
B 68.55580000 113.19600000 72.93960000
N 71.44800000 113.22100000 72.94060000
B 70.71440000 114.46700000 72.94300000
N 73.60640000 114.49200000 72.94410000
B 72.87270000 115.73800000 72.94690000
N 75.76460000 115.76300000 72.94810000
B 75.03090000 117.00900000 72.95130000
N 77.92250000 117.03500000 72.95260000
B 77.18890000 118.28000000 72.95620000
N 80.08030000 118.30600000 72.95730000
B 79.34660000 119.55100000 72.96140000
N 82.23790000 119.57700000 72.96200000
B 81.50420000 120.82300000 72.96650000
N 84.39530000 120.84900000 72.96630000
B 83.66160000 122.09500000 72.97120000
N 86.55260000 122.12100000 72.96990000
B 85.81890000 123.36600000 72.97500000
N 88.70970000 123.39200000 72.97250000
B 87.97600000 124.63800000 72.97770000
N 90.86670000 124.66400000 72.97370000
B 90.13300000 125.91000000 72.97900000
N 93.02370000 125.93600000 72.97350000
B 92.29000000 127.18200000 72.97870000
N 95.18050000 127.20700000 72.97190000
B 94.44680000 128.45300000 72.97690000
N 97.33740000 128.47900000 72.96910000
B 96.60370000 129.72500000 72.97390000
N 99.49420000 129.75000000 72.96550000
B 98.76050000 130.99600000 72.96980000
N 101.65100000 131.02100000 72.96130000
B 100.91700000 132.26700000 72.96510000
N 103.80800000 132.29200000 72.95690000
B 103.07400000 133.53800000 72.96010000
N 105.96500000 133.56300000 72.95240000
B 105.23100000 134.80900000 72.95510000
N 108.12200000 134.83300000 72.94810000
B 107.38800000 136.07900000 72.95020000
N 110.27900000 136.10400000 72.94410000
B 109.54500000 137.34900000 72.94570000
N 112.43600000 137.37300000 72.94050000
B 111.70200000 138.61900000 72.94160000
N 114.59300000 138.64300000 72.93710000
B 113.85900000 139.88900000 72.93780000
N 116.75100000 139.91200000 72.93410000
B 62.09880000 106.88300000 72.93000000
N 64.99170000 106.90700000 72.93020000
B 64.25820000 108.15300000 72.93140000
N 67.15090000 108.17700000 72.93160000
B 66.41740000 109.42300000 72.93310000
N 69.30990000 109.44800000 72.93330000
B 68.57640000 110.69300000 72.93520000
N 71.46870000 110.71800000 72.93550000
B 70.73520000 111.96400000 72.93770000
N 73.62730000 111.98900000 72.93820000
B 72.89370000 113.23400000 72.94070000
N 75.78560000 113.26000000 72.94150000
B 75.05210000 114.50500000 72.94430000
N 77.94370000 114.53100000 72.94520000
B 77.21020000 115.77600000 72.94840000
N 80.10170000 115.80200000 72.94920000
B 79.36820000 117.04800000 72.95280000
N 82.25940000 117.07300000 72.95340000
B 81.52590000 118.31900000 72.95740000
N 84.41700000 118.34500000 72.95750000
B 83.68350000 119.59100000 72.96170000
N 86.57440000 119.61700000 72.96100000
B 85.84090000 120.86200000 72.96560000
N 88.73160000 120.88800000 72.96380000
B 87.99810000 122.13400000 72.96860000
N 90.88880000 122.16000000 72.96550000
B 90.15520000 123.40600000 72.97040000
N 93.04580000 123.43100000 72.96600000
B 92.31230000 124.67700000 72.97090000
N 95.20270000 124.70300000 72.96530000
B 94.46920000 125.94900000 72.97010000
N 97.35960000 125.97500000 72.96340000
B 96.62610000 127.22000000 72.96800000
N 99.51650000 127.24600000 72.96070000
B 98.78290000 128.49200000 72.96500000
N 101.67300000 128.51700000 72.95740000
B 100.94000000 129.76300000 72.96120000
N 103.83000000 129.78800000 72.95370000
B 103.09700000 131.03400000 72.95710000
N 105.98700000 131.05900000 72.95000000
B 105.25300000 132.30500000 72.95290000
N 108.14400000 132.32900000 72.94640000
B 107.41000000 133.57500000 72.94880000
N 110.30100000 133.59900000 72.94300000
B 109.56700000 134.84500000 72.94490000
N 112.45800000 134.86900000 72.93990000
B 111.72400000 136.11500000 72.94130000
N 114.61500000 136.13900000 72.93700000
B 113.88200000 137.38500000 72.93800000
N 116.77200000 137.40800000 72.93440000
B 116.03900000 138.65400000 72.93510000
N 118.93000000 138.67700000 72.93210000
B 118.19600000 139.92300000 72.93240000
N 121.08700000 139.94600000 72.93000000
B 59.95870000 103.11100000 72.92730000
N 62.85190000 103.13500000 72.92700000
B 62.11850000 104.38000000 72.92790000
N 65.01150000 104.40500000 72.92760000
B 64.27810000 105.65000000 72.92880000
